Episode,Reward,PolicyLoss,ValueLoss
1,-4242.884714373642,452.15478515625,186658.71875
2,2.4296833455991393,7.633915901184082,3366.435791015625
3,1100.1711874344617,-94.52912139892578,11012.439453125
4,1031.567278758147,-87.92771911621094,9584.455078125
5,1119.9936769775538,-95.15394592285156,10783.95703125
6,1150.0031228785126,-100.14695739746094,11634.982421875
7,1179.657262916696,-104.08507537841797,12511.6513671875
8,1163.678720385109,-109.13970184326172,13697.08203125
9,1346.413391450752,-116.0313491821289,15004.8837890625
10,1128.9435801962363,-101.97606658935547,12199.60546875
11,1252.148477583893,-114.42093658447266,14337.568359375
12,1065.8595468997028,-97.62742614746094,10604.970703125
13,1154.1346505614374,-101.05487060546875,11349.279296875
14,1319.7722989522201,-116.04285430908203,14539.2734375
15,1208.281931994518,-104.06916809082031,11836.6083984375
16,1277.313120680745,-111.23580932617188,13837.5283203125
17,1312.8156573066901,-116.05675506591797,14505.056640625
18,1247.4967138005256,-109.2436752319336,12893.2138671875
19,1341.7029853295162,-114.363525390625,14070.30078125
20,1215.0086078273134,-105.99637603759766,12320.28125
