timestamp,episode,learning_rate,gamma,lambda,entropy_coeff,clip_ratio,batch_size,num_epochs,hidden_sizes
2025-04-11 02:32:00,0,0.0003,0.99,,0.2,,,,None
2025-04-11 02:45:36,0,0.0003,0.99,,0.2,,,,None
2025-04-11 11:08:57,0,0.0003,0.99,,0.2,,,,None
2025-04-11 11:40:31,0,0.0001,0.99,,0.2,,,,None
2025-04-11 14:48:13,0,0.0001,0.99,,0.2,,,,None
2025-04-11 15:05:30,0,0.0001,0.99,,0.2,,,,None
2025-04-11 15:21:39,0,0.0001,0.99,,0.2,,,,None
2025-04-11 15:49:01,0,0.0001,0.99,,0.2,,,,None
2025-04-11 16:30:34,0,0.0001,0.99,,0.2,,,,None
2025-04-11 18:02:01,0,0.0001,0.99,,0.2,,,,None
