timestamp,episode,learning_rate,gamma,lambda,entropy_coeff,clip_ratio,batch_size,num_epochs,hidden_sizes
2025-04-15 16:42:53,0,0.0001,0.99,,0.2,,,,None
2025-04-15 16:43:19,0,0.0001,0.99,,0.2,,,,None
2025-04-15 16:44:52,0,0.0001,0.99,,0.2,,,,None
2025-04-15 16:45:15,0,0.0001,0.99,,0.2,,,,None
2025-04-15 16:51:34,0,0.0001,0.99,,0.2,,,,None
2025-04-15 16:54:05,0,0.0001,0.99,,0.2,,,,None
2025-04-15 22:56:25,0,0.0001,0.99,,0.2,,,,None
2025-04-15 23:01:50,0,0.0001,0.99,,0.2,,,,None
2025-04-15 23:13:39,0,0.0001,0.99,,0.2,,,,None
2025-04-16 01:26:30,0,0.0001,0.99,,0.2,,,,None
2025-04-16 01:34:42,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:00:36,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:16:07,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:28:06,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:28:52,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:32:38,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:48:02,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:52:12,0,0.0002,0.97,,0.2,,,,None
2025-04-16 02:57:15,0,0.0001,0.99,,0.2,,,,None
2025-04-16 03:22:14,0,0.0001,0.99,,0.2,,,,None
